lowerCasing,stop_words,ngram_range,analyzer,max_features,clf_descr,precision,recall,F1_score,train_time,test_time
True,with,"(1, 1)",word,,LinearSVC,0.84901575972759,0.8383565829347877,0.8390453565354614,4.600766658782959,0.025931596755981445
True,with,"(1, 1)",word,5000,LinearSVC,0.8082031787401773,0.8007772732827775,0.8001960108843609,2.9331254959106445,0.017980575561523438
True,with,"(1, 1)",word,10000,LinearSVC,0.8356368997477335,0.826150593856792,0.8265069322846166,4.122949123382568,0.026928424835205078
True,with,"(1, 1)",word,15000,LinearSVC,0.8432020952512248,0.8331639720701813,0.8337545077702758,4.7452757358551025,0.03390979766845703
True,with,"(1, 2)",word,,LinearSVC,0.846820741186716,0.8360175227205803,0.8366129179347738,13.464960813522339,0.11967897415161133
True,with,"(1, 2)",word,5000,LinearSVC,0.7871328036371252,0.7809465752184142,0.7802996894945755,4.261574029922485,0.02993464469909668
True,with,"(1, 2)",word,10000,LinearSVC,0.8122373696295309,0.8041698644650832,0.8035883167098465,5.381094455718994,0.045876264572143555
True,with,"(1, 2)",word,15000,LinearSVC,0.8201976737963532,0.8122183961197719,0.8118651895681867,6.170504331588745,0.03490805625915527
True,with,"(2, 2)",word,,LinearSVC,0.769653375915908,0.7599998979511431,0.7601979647444528,7.633557081222534,0.07480025291442871
True,with,"(2, 2)",word,5000,LinearSVC,0.6179723698328814,0.616798953661992,0.6132493393915588,2.007634162902832,0.010001897811889648
True,with,"(2, 2)",word,10000,LinearSVC,0.684435963714757,0.6807656554718786,0.6789105420789487,4.090028524398804,0.0249326229095459
True,with,"(2, 2)",word,15000,LinearSVC,0.7100376843259593,0.703777904339764,0.7026601629720755,3.728057622909546,0.018950939178466797
True,with,"(1, 1)",char,,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.5436010360717773,0.001993894577026367
True,with,"(1, 1)",char,5000,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.5994229316711426,0.0020029544830322266
True,with,"(1, 1)",char,10000,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.7320172786712646,0.0019953250885009766
True,with,"(1, 1)",char,15000,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.4477713108062744,0.0019941329956054688
True,with,"(1, 2)",char,,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,5.3377320766448975,0.024933338165283203
True,with,"(1, 2)",char,5000,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,5.023565053939819,0.024933815002441406
True,with,"(1, 2)",char,10000,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,5.934393644332886,0.02792525291442871
True,with,"(1, 2)",char,15000,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,5.370732069015503,0.03889632225036621
True,with,"(2, 2)",char,,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,4.685541391372681,0.01795339584350586
True,with,"(2, 2)",char,5000,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,4.783266305923462,0.027924299240112305
True,with,"(2, 2)",char,10000,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,4.765369176864624,0.01795053482055664
True,with,"(2, 2)",char,15000,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,5.013441562652588,0.0359034538269043
True,with,"(1, 1)",char_wb,,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.5186450481414795,0.0009970664978027344
True,with,"(1, 1)",char_wb,5000,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.6652212142944336,0.003989458084106445
True,with,"(1, 1)",char_wb,10000,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.652254581451416,0.0019948482513427734
True,with,"(1, 1)",char_wb,15000,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.5624938011169434,0.0029883384704589844
True,with,"(1, 2)",char_wb,,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.29750919342041,0.018952369689941406
True,with,"(1, 2)",char_wb,5000,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.632028579711914,0.025931358337402344
True,with,"(1, 2)",char_wb,10000,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.67954421043396,0.0249330997467041
True,with,"(1, 2)",char_wb,15000,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.510354518890381,0.03191375732421875
True,with,"(2, 2)",char_wb,,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.228745460510254,0.02196979522705078
True,with,"(2, 2)",char_wb,5000,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.285909175872803,0.024968385696411133
True,with,"(2, 2)",char_wb,10000,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.859048843383789,0.02293705940246582
True,with,"(2, 2)",char_wb,15000,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.218750476837158,0.030918598175048828
True,without,"(1, 1)",word,,LinearSVC,0.84901575972759,0.8383565829347877,0.8390453565354614,5.399580717086792,0.02992081642150879
True,without,"(1, 1)",word,5000,LinearSVC,0.8082031787401773,0.8007772732827775,0.8001960108843609,3.056364059448242,0.015956640243530273
True,without,"(1, 1)",word,10000,LinearSVC,0.8356368997477335,0.826150593856792,0.8265069322846166,3.9203836917877197,0.020945072174072266
True,without,"(1, 1)",word,15000,LinearSVC,0.8432020952512248,0.8331639720701813,0.8337545077702758,4.329426527023315,0.029892683029174805
True,without,"(1, 2)",word,,LinearSVC,0.846820741186716,0.8360175227205803,0.8366129179347738,13.652925729751587,0.14261817932128906
True,without,"(1, 2)",word,5000,LinearSVC,0.7871328036371252,0.7809465752184142,0.7802996894945755,4.4139368534088135,0.03889584541320801
True,without,"(1, 2)",word,10000,LinearSVC,0.8122373696295309,0.8041698644650832,0.8035883167098465,5.218332290649414,0.03291177749633789
True,without,"(1, 2)",word,15000,LinearSVC,0.8201976737963532,0.8122183961197719,0.8118651895681867,6.122633457183838,0.04687333106994629
True,without,"(2, 2)",word,,LinearSVC,0.769653375915908,0.7599998979511431,0.7601979647444528,7.327510356903076,0.061835289001464844
True,without,"(2, 2)",word,5000,LinearSVC,0.6179723698328814,0.616798953661992,0.6132493393915588,2.169250726699829,0.020943403244018555
True,without,"(2, 2)",word,10000,LinearSVC,0.684435963714757,0.6807656554718786,0.6789105420789487,3.2463371753692627,0.015957355499267578
True,without,"(2, 2)",word,15000,LinearSVC,0.7100376843259593,0.703777904339764,0.7026601629720755,3.643228769302368,0.018949508666992188
True,without,"(1, 1)",char,,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.524622917175293,0.001997709274291992
True,without,"(1, 1)",char,5000,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.5385911464691162,0.0019974708557128906
True,without,"(1, 1)",char,10000,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.5978744029998779,0.001994609832763672
True,without,"(1, 1)",char,15000,LinearSVC,0.10409784838982512,0.14058608329494388,0.10465387329769267,0.5455389022827148,0.0020227432250976562
True,without,"(1, 2)",char,,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,5.141333341598511,0.019948720932006836
True,without,"(1, 2)",char,5000,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,5.258289098739624,0.018948793411254883
True,without,"(1, 2)",char,10000,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,4.412313461303711,0.017911911010742188
True,without,"(1, 2)",char,15000,LinearSVC,0.6519272012485844,0.6510772630893129,0.6440810042745966,4.678493976593018,0.01795172691345215
True,without,"(2, 2)",char,,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,4.658575534820557,0.017971277236938477
True,without,"(2, 2)",char,5000,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,4.67214822769165,0.02094411849975586
True,without,"(2, 2)",char,10000,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,4.5592265129089355,0.02892446517944336
True,without,"(2, 2)",char,15000,LinearSVC,0.6545129671231502,0.6528064538336028,0.646398891646542,4.245617389678955,0.033908843994140625
True,without,"(1, 1)",char_wb,,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.46375584602355957,0.0009942054748535156
True,without,"(1, 1)",char_wb,5000,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.457775354385376,0.0019953250885009766
True,without,"(1, 1)",char_wb,10000,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.46485090255737305,0.0019931793212890625
True,without,"(1, 1)",char_wb,15000,LinearSVC,0.10432270460143325,0.1406038878949434,0.10437761253660968,0.47074151039123535,0.001994609832763672
True,without,"(1, 2)",char_wb,,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.291088104248047,0.01695418357849121
True,without,"(1, 2)",char_wb,5000,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.6017539501190186,0.02593398094177246
True,without,"(1, 2)",char_wb,10000,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.29857063293457,0.017952442169189453
True,without,"(1, 2)",char_wb,15000,LinearSVC,0.6521402940768712,0.6509980484608954,0.6442912986730498,4.425312757492065,0.014960765838623047
True,without,"(2, 2)",char_wb,,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.2408342361450195,0.027953624725341797
True,without,"(2, 2)",char_wb,5000,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.608190298080444,0.019945859909057617
True,without,"(2, 2)",char_wb,10000,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.016266584396362,0.01894974708557129
True,without,"(2, 2)",char_wb,15000,LinearSVC,0.6538376465027848,0.6526057893525122,0.64606463788029,4.578887701034546,0.020916461944580078
False,with,"(1, 1)",word,,LinearSVC,0.8437953745969384,0.8325338760356724,0.8333353960618141,5.350182294845581,0.0448763370513916
False,with,"(1, 1)",word,5000,LinearSVC,0.7955923119032116,0.786992823091274,0.7868408762820747,2.7207226753234863,0.014987468719482422
False,with,"(1, 1)",word,10000,LinearSVC,0.8247555212965155,0.8148650805111304,0.8153508619091673,3.8634564876556396,0.01795172691345215
False,with,"(1, 1)",word,15000,LinearSVC,0.8354305628443246,0.8247562267019324,0.8254371161731717,4.425681829452515,0.04089045524597168
False,with,"(1, 2)",word,,LinearSVC,0.8381892510133502,0.827967443143981,0.828738154479562,11.450994491577148,0.09175539016723633
