feature_type,lowerCasing,stop_words,ngram_range,analyzer,max_features,classifier_Name,classifier_Metric,score
Tfidf,True,with,0,word,,MultinomialNB,f1_score,0.07822649407022712
Tfidf,True,with,0,word,,MultinomialNB,recall_score,0.06903361242958797
Tfidf,True,with,0,word,,MultinomialNB,precision_score,0.09028094518477814
Tfidf,True,with,0,word,,RidgeClassifier,f1_score,0.07822649407022712
Tfidf,True,with,0,word,,RidgeClassifier,recall_score,0.06903361242958797
Tfidf,True,with,0,word,,RidgeClassifier,precision_score,0.09028094518477814
Tfidf,True,with,0,word,,DecisionTree,f1_score,0.07822649407022712
Tfidf,True,with,0,word,,DecisionTree,recall_score,0.06903361242958797
Tfidf,True,with,0,word,,DecisionTree,precision_score,0.09028094518477814
Tfidf,True,with,0,word,10,MultinomialNB,f1_score,0.01253946470507116
Tfidf,True,with,0,word,10,MultinomialNB,recall_score,0.007510132906853543
Tfidf,True,with,0,word,10,MultinomialNB,precision_score,0.049221685453569516
Tfidf,True,with,0,word,10,RidgeClassifier,f1_score,0.01253946470507116
Tfidf,True,with,0,word,10,RidgeClassifier,recall_score,0.007510132906853543
Tfidf,True,with,0,word,10,RidgeClassifier,precision_score,0.049221685453569516
Tfidf,True,with,0,word,10,DecisionTree,f1_score,0.01253946470507116
Tfidf,True,with,0,word,10,DecisionTree,recall_score,0.007510132906853543
Tfidf,True,with,0,word,10,DecisionTree,precision_score,0.049221685453569516
Tfidf,True,with,0,word,20,MultinomialNB,f1_score,0.01541598595173771
Tfidf,True,with,0,word,20,MultinomialNB,recall_score,0.009357683352918986
Tfidf,True,with,0,word,20,MultinomialNB,precision_score,0.045998635164794625
Tfidf,True,with,0,word,20,RidgeClassifier,f1_score,0.01541598595173771
Tfidf,True,with,0,word,20,RidgeClassifier,recall_score,0.009357683352918986
Tfidf,True,with,0,word,20,RidgeClassifier,precision_score,0.045998635164794625
Tfidf,True,with,0,word,20,DecisionTree,f1_score,0.01541598595173771
Tfidf,True,with,0,word,20,DecisionTree,recall_score,0.009357683352918986
Tfidf,True,with,0,word,20,DecisionTree,precision_score,0.045998635164794625
Tfidf,True,with,0,char,,MultinomialNB,f1_score,0.01229432184411226
Tfidf,True,with,0,char,,MultinomialNB,recall_score,0.007440235683311099
Tfidf,True,with,0,char,,MultinomialNB,precision_score,0.0509264762697257
Tfidf,True,with,0,char,,RidgeClassifier,f1_score,0.01229432184411226
Tfidf,True,with,0,char,,RidgeClassifier,recall_score,0.007440235683311099
Tfidf,True,with,0,char,,RidgeClassifier,precision_score,0.0509264762697257
Tfidf,True,with,0,char,,DecisionTree,f1_score,0.01229432184411226
Tfidf,True,with,0,char,,DecisionTree,recall_score,0.007440235683311099
Tfidf,True,with,0,char,,DecisionTree,precision_score,0.0509264762697257
Tfidf,True,with,0,char,10,MultinomialNB,f1_score,0.011949540448680528
Tfidf,True,with,0,char,10,MultinomialNB,recall_score,0.008163522051033595
Tfidf,True,with,0,char,10,MultinomialNB,precision_score,0.056712791368091583
Tfidf,True,with,0,char,10,RidgeClassifier,f1_score,0.011949540448680528
Tfidf,True,with,0,char,10,RidgeClassifier,recall_score,0.008163522051033595
Tfidf,True,with,0,char,10,RidgeClassifier,precision_score,0.056712791368091583
Tfidf,True,with,0,char,10,DecisionTree,f1_score,0.011949540448680528
Tfidf,True,with,0,char,10,DecisionTree,recall_score,0.008163522051033595
Tfidf,True,with,0,char,10,DecisionTree,precision_score,0.056712791368091583
Tfidf,True,with,0,char,20,MultinomialNB,f1_score,0.01177037003635861
Tfidf,True,with,0,char,20,MultinomialNB,recall_score,0.0071119741330439796
Tfidf,True,with,0,char,20,MultinomialNB,precision_score,0.047672535542792584
Tfidf,True,with,0,char,20,RidgeClassifier,f1_score,0.01177037003635861
Tfidf,True,with,0,char,20,RidgeClassifier,recall_score,0.0071119741330439796
Tfidf,True,with,0,char,20,RidgeClassifier,precision_score,0.047672535542792584
Tfidf,True,with,0,char,20,DecisionTree,f1_score,0.01177037003635861
Tfidf,True,with,0,char,20,DecisionTree,recall_score,0.0071119741330439796
Tfidf,True,with,0,char,20,DecisionTree,precision_score,0.047672535542792584
Tfidf,True,with,0,char_wb,,MultinomialNB,f1_score,0.012720303744711869
Tfidf,True,with,0,char_wb,,MultinomialNB,recall_score,0.007681329836851867
Tfidf,True,with,0,char_wb,,MultinomialNB,precision_score,0.05450994398362819
Tfidf,True,with,0,char_wb,,RidgeClassifier,f1_score,0.012720303744711869
Tfidf,True,with,0,char_wb,,RidgeClassifier,recall_score,0.007681329836851867
Tfidf,True,with,0,char_wb,,RidgeClassifier,precision_score,0.05450994398362819
Tfidf,True,with,0,char_wb,,DecisionTree,f1_score,0.012720303744711869
Tfidf,True,with,0,char_wb,,DecisionTree,recall_score,0.007681329836851867
Tfidf,True,with,0,char_wb,,DecisionTree,precision_score,0.05450994398362819
Tfidf,True,with,0,char_wb,10,MultinomialNB,f1_score,0.011949540448680528
Tfidf,True,with,0,char_wb,10,MultinomialNB,recall_score,0.008163522051033595
Tfidf,True,with,0,char_wb,10,MultinomialNB,precision_score,0.056712791368091583
Tfidf,True,with,0,char_wb,10,RidgeClassifier,f1_score,0.011949540448680528
Tfidf,True,with,0,char_wb,10,RidgeClassifier,recall_score,0.008163522051033595
Tfidf,True,with,0,char_wb,10,RidgeClassifier,precision_score,0.056712791368091583
Tfidf,True,with,0,char_wb,10,DecisionTree,f1_score,0.011949540448680528
Tfidf,True,with,0,char_wb,10,DecisionTree,recall_score,0.008163522051033595
Tfidf,True,with,0,char_wb,10,DecisionTree,precision_score,0.056712791368091583
Tfidf,True,with,0,char_wb,20,MultinomialNB,f1_score,0.01206301163382357
Tfidf,True,with,0,char_wb,20,MultinomialNB,recall_score,0.007351351285457708
Tfidf,True,with,0,char_wb,20,MultinomialNB,precision_score,0.05001550593655857
Tfidf,True,with,0,char_wb,20,RidgeClassifier,f1_score,0.01206301163382357
Tfidf,True,with,0,char_wb,20,RidgeClassifier,recall_score,0.007351351285457708
Tfidf,True,with,0,char_wb,20,RidgeClassifier,precision_score,0.05001550593655857
Tfidf,True,with,0,char_wb,20,DecisionTree,f1_score,0.01206301163382357
Tfidf,True,with,0,char_wb,20,DecisionTree,recall_score,0.007351351285457708
Tfidf,True,with,0,char_wb,20,DecisionTree,precision_score,0.05001550593655857
Tfidf,True,with,1,word,,MultinomialNB,f1_score,0.07404324430736925
Tfidf,True,with,1,word,,MultinomialNB,recall_score,0.0638277360069021
Tfidf,True,with,1,word,,MultinomialNB,precision_score,0.0911408122964994
Tfidf,True,with,1,word,,RidgeClassifier,f1_score,0.07404324430736925
Tfidf,True,with,1,word,,RidgeClassifier,recall_score,0.0638277360069021
Tfidf,True,with,1,word,,RidgeClassifier,precision_score,0.0911408122964994
Tfidf,True,with,1,word,,DecisionTree,f1_score,0.07404324430736925
Tfidf,True,with,1,word,,DecisionTree,recall_score,0.0638277360069021
Tfidf,True,with,1,word,,DecisionTree,precision_score,0.0911408122964994
Tfidf,True,with,1,word,10,MultinomialNB,f1_score,0.0018350571163939491
Tfidf,True,with,1,word,10,MultinomialNB,recall_score,0.0009366482724961767
Tfidf,True,with,1,word,10,MultinomialNB,precision_score,0.09558823529411764
Tfidf,True,with,1,word,10,RidgeClassifier,f1_score,0.0018350571163939491
Tfidf,True,with,1,word,10,RidgeClassifier,recall_score,0.0009366482724961767
Tfidf,True,with,1,word,10,RidgeClassifier,precision_score,0.09558823529411764
Tfidf,True,with,1,word,10,DecisionTree,f1_score,0.0018350571163939491
Tfidf,True,with,1,word,10,DecisionTree,recall_score,0.0009366482724961767
Tfidf,True,with,1,word,10,DecisionTree,precision_score,0.09558823529411764
Tfidf,True,with,1,word,20,MultinomialNB,f1_score,0.007002487344001431
Tfidf,True,with,1,word,20,MultinomialNB,recall_score,0.0037198539363133077
Tfidf,True,with,1,word,20,MultinomialNB,precision_score,0.0701556629092861
Tfidf,True,with,1,word,20,RidgeClassifier,f1_score,0.007002487344001431
Tfidf,True,with,1,word,20,RidgeClassifier,recall_score,0.0037198539363133077
Tfidf,True,with,1,word,20,RidgeClassifier,precision_score,0.0701556629092861
Tfidf,True,with,1,word,20,DecisionTree,f1_score,0.007002487344001431
Tfidf,True,with,1,word,20,DecisionTree,recall_score,0.0037198539363133077
